symbol,period,eps
BIOTEC,2025Q1,-0.01
BIOTEC,2024Q4,0.02
BIOTEC,2024Q3,-0.04
BIS,2025Q4,
BIS,2025Q3,
BIS,2025Q2,0.06
BIS,2025Q1,0.06
BIS,2024Q4,0.06
BIS,2024Q3,0.06
BIZ,2025Q4,
BIZ,2025Q3,
BIZ,2025Q2,0.08
BIZ,2025Q1,0.02
BIZ,2024Q4,0.12
BIZ,2024Q3,0.14
BJC,2025Q4,
BJC,2025Q3,
BJC,2025Q2,0.25
BJC,2025Q1,0.27
BJC,2024Q4,0.41
BJC,2024Q3,0.17
BJCHI,2025Q4,
BJCHI,2025Q3,
BJCHI,2025Q2,-0.04
BJCHI,2025Q1,-0.02
BJCHI,2024Q4,-0.15
BJCHI,2024Q3,-0.09
BKA,2025Q4,
BKA,2025Q3,
BKA,2025Q2,-0.03
BKA,2025Q1,
BKA,2024Q4,
BKA,2024Q3,
BKD,2025Q4,
BKD,2025Q3,
BKD,2025Q2,0.01
BKD,2025Q1,0.04
BKD,2024Q4,0.05
BKD,2024Q3,0.03
BKGI,2025Q4,
BKGI,2025Q3,
BKGI,2025Q2,0.01
BKGI,2025Q1,0.01
BKGI,2024Q4,0.02
BKGI,2024Q3,0.02
BKIH,2025Q4,
BKIH,2025Q3,
BKIH,2025Q2,9.19
BKIH,2025Q1,5.37
BKIH,2024Q4,7.22
BKIH,2024Q3,7.08
BKKCP,2025Q4,
BKKCP,2025Q3,
BKKCP,2025Q2,
BKKCP,2025Q1,
BKKCP,2024Q4,
BKKCP,2024Q3,0.106414
BLA,2025Q4,
BLA,2025Q3,
BLA,2025Q2,1.25
BLA,2025Q1,0.7
BLA,2024Q4,0.56
BLA,2024Q3,0.36
BLAND,2025Q4,0.03
BLAND,2025Q3,0.0
BLAND,2025Q2,0.0
BLAND,2025Q1,0.0
BLAND,2024Q4,0.06
BLAND,2024Q3,0.01
BLC,2025Q4,
BLC,2025Q3,
BLC,2025Q2,0.07
BLC,2025Q1,0.09
BLC,2024Q4,0.09
BLC,2024Q3,0.07
BLESS,2025Q4,
BLESS,2025Q3,
BLESS,2025Q2,0.0
BLESS,2025Q1,0.01
BLESS,2024Q4,0.0
BLESS,2024Q3,0.01
BLISS,2025Q4,
BLISS,2025Q3,
BLISS,2025Q2,0.0
BLISS,2025Q1,0.0
BLISS,2024Q4,0.0
BLISS,2024Q3,0.0
BM,2025Q4,
BM,2025Q3,
BM,2025Q2,0.03
BM,2025Q1,0.08
BM,2024Q4,0.06
BM,2024Q3,0.05
BOFFICE,2025Q4,
BOFFICE,2025Q3,
BOFFICE,2025Q2,0.077044
BOFFICE,2025Q1,0.175807
BOFFICE,2024Q4,
BOFFICE,2024Q3,0.174138
BOL,2025Q4,
BOL,2025Q3,
BOL,2025Q2,0.1
BOL,2025Q1,0.08
BOL,2024Q4,0.06
BOL,2024Q3,0.1
BPP,2025Q4,
BPP,2025Q3,
BPP,2025Q2,0.42
BPP,2025Q1,0.19
BPP,2024Q4,-0.35
BPP,2024Q3,0.37
BPS,2025Q4,
BPS,2025Q3,
BPS,2025Q2,0.0
BPS,2025Q1,0.01
BPS,2024Q4,0.01
BPS,2024Q3,0.0
BR,2025Q4,
BR,2025Q3,
BR,2025Q2,0.03
BR,2025Q1,0.04
BR,2024Q4,0.01
BR,2024Q3,0.03
BRI,2025Q4,
BRI,2025Q3,
BRI,2025Q2,0.09
BRI,2025Q1,-0.01
BRI,2024Q4,-0.22
BRI,2024Q3,0.13
BROCK,2025Q4,
BROCK,2025Q3,
BROCK,2025Q2,0.0
BROCK,2025Q1,0.0
BROCK,2024Q4,-0.01
BROCK,2024Q3,0.0
BRR,2025Q4,
BRR,2025Q3,
BRR,2025Q2,0.04
BRR,2025Q1,0.5
BRR,2024Q4,-0.08
BRR,2024Q3,0.45
BRRGIF,2025Q4,
BRRGIF,2025Q3,
BRRGIF,2025Q2,
BRRGIF,2025Q1,
BRRGIF,2024Q4,
BRRGIF,2024Q3,
BSBM,2025Q4,
BSBM,2025Q3,
BSBM,2025Q2,-0.01
BSBM,2025Q1,-0.01
BSBM,2024Q4,-0.1
BSBM,2024Q3,-0.03
BSM,2025Q4,
BSM,2025Q3,
BSM,2025Q2,-0.03
BSM,2025Q1,-0.05
BSM,2024Q4,-0.23
BSM,2024Q3,-0.09
BSRC,2025Q4,
BSRC,2025Q3,
BSRC,2025Q2,-0.58
BSRC,2025Q1,0.06
BSRC,2024Q4,-0.3
BSRC,2024Q3,-0.5
BTC,2025Q4,
BTC,2025Q3,
BTC,2025Q2,-0.01
BTC,2025Q1,-0.03
BTC,2024Q4,0.01
BTC,2024Q3,-0.02
BTG,2025Q4,
BTG,2025Q3,
BTG,2025Q2,1.34
BTG,2025Q1,0.98
BTG,2024Q4,0.5
BTG,2024Q3,0.51
BTNC,2025Q4,
BTNC,2025Q3,
BTNC,2025Q2,-0.25
BTNC,2025Q1,0.36
BTNC,2024Q4,-0.47
BTNC,2024Q3,-0.74
BTS,2025Q4,-0.01
BTS,2025Q3,0.2
BTS,2025Q2,-0.03
BTS,2025Q1,-0.03
BTS,2024Q4,0.0
BTS,2024Q3,-0.36
BTSGIF,2025Q4,
BTSGIF,2025Q3,
BTSGIF,2025Q2,
BTSGIF,2025Q1,
BTSGIF,2024Q4,
BTSGIF,2024Q3,
BTW,2025Q4,
BTW,2025Q3,
BTW,2025Q2,-0.03
BTW,2025Q1,-0.03
BTW,2024Q4,0.01
BTW,2024Q3,-0.04
BUI,2025Q4,
BUI,2025Q3,
BUI,2025Q2,0.88
BUI,2025Q1,0.12
BUI,2024Q4,0.44
BUI,2024Q3,1.41
BVG,2025Q4,
BVG,2025Q3,
BVG,2025Q2,0.04
BVG,2025Q1,0.03
BVG,2024Q4,0.03
BVG,2024Q3,0.03
BWG,2025Q4,
BWG,2025Q3,
BWG,2025Q2,0.0
BWG,2025Q1,0.0
BWG,2024Q4,0.01
BWG,2024Q3,0.0
BYD,2025Q4,
BYD,2025Q3,
BYD,2025Q2,-0.47
BYD,2025Q1,-0.05
BYD,2024Q4,-0.91
BYD,2024Q3,0.02
CAZ,2025Q4,
CAZ,2025Q3,
CAZ,2025Q2,0.09
CAZ,2025Q1,0.13
CAZ,2024Q4,-1.16
CAZ,2024Q3,0.03
CBG,2025Q4,
CBG,2025Q3,
CBG,2025Q2,0.8
CBG,2025Q1,0.76
CBG,2024Q4,0.78
CBG,2024Q3,0.74
CCET,2025Q4,
CCET,2025Q3,
CCET,2025Q2,0.05
CCET,2025Q1,0.06
CCET,2024Q4,0.06
CCET,2024Q3,0.07
CCP,2025Q4,
CCP,2025Q3,
CCP,2025Q2,0.01
CCP,2025Q1,0.01
CCP,2024Q4,0.01
CCP,2024Q3,0.01
CEN,2025Q4,
CEN,2025Q3,
CEN,2025Q2,-0.1
CEN,2025Q1,-0.09
CEN,2024Q4,-0.13
CEN,2024Q3,-0.01
CENTEL,2025Q4,
CENTEL,2025Q3,
CENTEL,2025Q2,0.08
CENTEL,2025Q1,0.55
CENTEL,2024Q4,0.5
CENTEL,2024Q3,0.12
CEYE,2025Q4,
CEYE,2025Q3,
CEYE,2025Q2,0.03
CEYE,2025Q1,0.03
CEYE,2024Q4,0.05
CEYE,2024Q3,-0.02
CFARM,2025Q4,
CFARM,2025Q3,
CFARM,2025Q2,-0.01
CFARM,2025Q1,0.0
CFARM,2024Q4,0.02
CFARM,2024Q3,0.0
CFRESH,2025Q4,
CFRESH,2025Q3,
CFRESH,2025Q2,0.01
CFRESH,2025Q1,-0.02
CFRESH,2024Q4,-0.03
CFRESH,2024Q3,-0.14
CGD,2025Q4,
CGD,2025Q3,
CGD,2025Q2,-0.01
CGD,2025Q1,-0.01
CGD,2024Q4,-0.02
CGD,2024Q3,0.0
CGH,2025Q4,
CGH,2025Q3,
CGH,2025Q2,-0.03
CGH,2025Q1,0.0
CGH,2024Q4,0.01
CGH,2024Q3,0.03
CH,2025Q4,
CH,2025Q3,
CH,2025Q2,0.02
CH,2025Q1,0.02
CH,2024Q4,0.03
CH,2024Q3,0.0
CHAO,2025Q4,
CHAO,2025Q3,
CHAO,2025Q2,0.01
CHAO,2025Q1,0.04
CHAO,2024Q4,0.06
CHAO,2024Q3,0.18
CHARAN,2025Q4,
CHARAN,2025Q3,
CHARAN,2025Q2,
CHARAN,2025Q1,1.32
CHARAN,2024Q4,0.39
CHARAN,2024Q3,-1.65
CHASE,2025Q4,
CHASE,2025Q3,
CHASE,2025Q2,0.0
CHASE,2025Q1,0.0
CHASE,2024Q4,0.0
CHASE,2024Q3,0.0
CHAYO,2025Q4,
CHAYO,2025Q3,
CHAYO,2025Q2,0.08
CHAYO,2025Q1,0.07
CHAYO,2024Q4,0.05
CHAYO,2024Q3,0.09
CHEWA,2025Q4,
CHEWA,2025Q3,
CHEWA,2025Q2,-0.02
CHEWA,2025Q1,-0.04
CHEWA,2024Q4,-0.3
CHEWA,2024Q3,0.0
CHG,2025Q4,
CHG,2025Q3,
CHG,2025Q2,0.02
CHG,2025Q1,0.02
CHG,2024Q4,0.01
CHG,2024Q3,0.04
CHIC,2025Q4,
CHIC,2025Q3,
CHIC,2025Q2,-0.01
CHIC,2025Q1,-0.01
CHIC,2024Q4,-0.01
CHIC,2024Q3,-0.02
CHO,2025Q4,
CHO,2025Q3,
CHO,2025Q2,-0.36
CHO,2025Q1,-0.04
CHO,2024Q4,-0.09
CHO,2024Q3,-0.11
CHOTI,2025Q4,
CHOTI,2025Q3,
CHOTI,2025Q2,-5.28
CHOTI,2025Q1,-0.53
CHOTI,2024Q4,-5.42
CHOTI,2024Q3,-9.89
CHOW,2025Q4,
CHOW,2025Q3,
CHOW,2025Q2,-0.01
CHOW,2025Q1,0.0
CHOW,2024Q4,0.03
CHOW,2024Q3,0.01
CI,2025Q4,
CI,2025Q3,
CI,2025Q2,-0.07
CI,2025Q1,-0.04
CI,2024Q4,-0.08
CI,2024Q3,-0.07
CIG,2025Q4,
CIG,2025Q3,
CIG,2025Q2,-0.01
CIG,2025Q1,-0.01
CIG,2024Q4,-0.08
CIG,2024Q3,-0.01
CIMBT,2025Q4,
CIMBT,2025Q3,
CIMBT,2025Q2,0.01
