symbol,sector,last_price
NTV,Healthcare,18.899999618530273
NUT,Consumer Defensive,4.940000057220459
NV,Consumer Defensive,0.6100000143051147
NVD,Real Estate,0.8500000238418579
NWR,Industrials,0.03999999910593033
NYT,Industrials,4.019999980926514
OCC,Consumer Defensive,9.949999809265137
OGC,Consumer Cyclical,9.699999809265137
OHTL,Consumer Cyclical,265.0
OKJ,Consumer Defensive,3.799999952316284
ONEE,Communication Services,3.240000009536743
ONSENS,Consumer Cyclical,1.190000057220459
OR,Energy,12.699999809265137
ORI,Real Estate,1.850000023841858
ORN,Real Estate,0.7900000214576721
OSP,Consumer Defensive,17.399999618530273
PACO,Consumer Cyclical,1.4199999570846558
PAF,Consumer Cyclical,0.9300000071525574
PANEL,Industrials,1.2000000476837158
PAP,Basic Materials,2.4000000953674316
PATO,Basic Materials,6.25
PB,Consumer Defensive,48.0
PCC,Industrials,3.0199999809265137
PCE,Consumer Defensive,2.1600000858306885
PCSGH,Consumer Cyclical,3.0399999618530273
PDG,Consumer Cyclical,3.1600000858306885
PDJ,Consumer Cyclical,0.9800000190734863
PEACE,Real Estate,1.4700000286102295
PEER,Industrials,0.10000000149011612
PERM,Basic Materials,0.23999999463558197
PF,Real Estate,0.05000000074505806
PG,Consumer Cyclical,6.550000190734863
PHG,Healthcare,10.300000190734863
PHOL,Industrials,3.119999885559082
PICO,Communication Services,4.199999809265137
PIMO,Industrials,1.100000023841858
PIN,Real Estate,4.539999961853027
PIS,Technology,4.800000190734863
PJW,Consumer Cyclical,2.0799999237060547
PK,Industrials,0.4699999988079071
PL,Industrials,1.309999942779541
PLANB,Communication Services,5.400000095367432
PLANET,Technology,0.6299999952316284
PLAT,Real Estate,1.3300000429153442
PLE,Industrials,0.07999999821186066
PLT,Energy,0.5299999713897705
PLUS,Consumer Defensive,1.3700000047683716
PM,Consumer Defensive,11.199999809265137
PMC,Consumer Cyclical,0.8999999761581421
PMTA,Basic Materials,9.699999809265137
POLY,Industrials,6.849999904632568
PORT,Industrials,0.6299999952316284
PPM,Industrials,2.140000104904175
PPP,Industrials,0.7400000095367432
PPPM,Consumer Defensive,0.2199999988079071
PPS,Industrials,0.18000000715255737
PQS,Consumer Defensive,1.809999942779541
PR9,Healthcare,17.600000381469727
PRAKIT,Communication Services,10.0
PRAPAT,Basic Materials,0.800000011920929
PREB,Industrials,3.5
PRECHA,Real Estate,0.44999998807907104
PRG,Consumer Defensive,9.199999809265137
PRI,Real Estate,3.4200000762939453
PRIME,Utilities,0.05000000074505806
PRIN,Real Estate,1.3700000047683716
PRINC,Healthcare,1.7200000286102295
PRM,Energy,9.0
PROEN,Communication Services,0.9200000166893005
PROS,Industrials,0.1599999964237213
PROSPECT,Real Estate,10.5
PROUD,Real Estate,1.0199999809265137
PRTR,Industrials,3.5399999618530273
PSGC,Industrials,5.199999809265137
PSH,Real Estate,3.5399999618530273
PSL,Industrials,7.650000095367432
PSP,Basic Materials,7.25
PSTC,Energy,0.3199999928474426
PT,Technology,11.399999618530273
PTC,Energy,0.5899999737739563
PTG,Consumer Cyclical,7.599999904632568
PTL,Basic Materials,14.199999809265137
PTT,Energy,37.5
PTTEP,Energy,139.5
PTTGC,Basic Materials,34.25
PYLON,Industrials,3.5799999237060547
Q-CON,Industrials,6.199999809265137
QDC,Consumer Cyclical,0.07000000029802322
QH,Real Estate,1.3899999856948853
QHBREIT,Real Estate,3.799999952316284
QHHRREIT,Real Estate,8.449999809265137
QHOP,Real Estate,3.359999895095825
QLT,Industrials,1.8600000143051147
QTC,Industrials,4.519999980926514
QTCG,Industrials,0.10000000149011612
RABBIT,Industrials,0.3499999940395355
RAM,Healthcare,18.0
RATCH,Utilities,36.25
RBF,Consumer Defensive,5.099999904632568
RCL,Industrials,32.5
READY,Technology,3.0199999809265137
RICHY,Real Estate,0.15000000596046448
RJH,Healthcare,13.899999618530273
RML,Real Estate,0.09000000357627869
ROCK,Consumer Cyclical,10.399999618530273
ROCTEC,Technology,0.6700000166893005
ROH,Consumer Cyclical,1.2100000381469727
ROJNA,Utilities,5.800000190734863
RP,Industrials,0.6700000166893005
RPC,Consumer Cyclical,0.36000001430511475
RPH,Healthcare,5.0
RS,Communication Services,0.12999999523162842
RSP,Consumer Cyclical,0.9399999976158142
RT,Industrials,0.28999999165534973
RWI,Basic Materials,0.17000000178813934
S,Consumer Cyclical,0.49000000953674316
S11,Financial Services,4.320000171661377
SA,Real Estate,7.050000190734863
SAAM,Utilities,4.679999828338623
SABINA,Consumer Cyclical,15.800000190734863
SAF,Basic Materials,0.4099999964237213
SAFE,Healthcare,5.699999809265137
SAK,Financial Services,3.359999895095825
SALEE,Basic Materials,0.6200000047683716
SAM,Basic Materials,0.10000000149011612
SAMART,Technology,5.699999809265137
SAMCO,Real Estate,0.8399999737739563
SAMTEL,Communication Services,3.140000104904175
SANKO,Consumer Cyclical,1.4700000286102295
SAPPE,Consumer Defensive,33.5
SAT,Consumer Cyclical,15.899999618530273
SAUCE,Consumer Defensive,41.25
SAV,Industrials,11.300000190734863
SAWAD,Financial Services,24.600000381469727
SAWANG,Consumer Cyclical,6.5
SC,Real Estate,1.9600000381469727
SCAP,Financial Services,1.7699999809265137
SCB,Financial Services,156.5
SCC,Industrials,245.0
SCCC,Basic Materials,148.5
SCG,Utilities,2.819999933242798
SCGD,Basic Materials,5.099999904632568
SCGP,Consumer Cyclical,28.5
SCI,Industrials,0.9300000071525574
SCL,Consumer Cyclical,1.649999976158142
SCM,Consumer Defensive,0.12999999523162842
SCN,Utilities,0.4000000059604645
SCP,Basic Materials,9.050000190734863
SDC,Technology,0.019999999552965164
SE,Industrials,0.5099999904632568
SE-ED,Consumer Cyclical,1.5499999523162842
SEAFCO,Industrials,2.9600000381469727
SEAOIL,Energy,3.119999885559082
SECURE,Technology,13.199999809265137
SEI,Healthcare,1.6799999475479126
SELIC,Basic Materials,2.819999933242798
SENA,Real Estate,1.75
SENX,Real Estate,0.2199999988079071
SFLEX,Consumer Cyclical,2.9800000190734863
SFT,Industrials,1.399999976158142
SGC,Financial Services,1.7000000476837158
SGF,Financial Services,0.15000000596046448
SGP,Energy,8.100000381469727
SHANG,Consumer Cyclical,43.0
SHR,Consumer Cyclical,1.7100000381469727
SIAM,Consumer Cyclical,0.7799999713897705
SICT,Technology,3.0799999237060547
SIMAT,Technology,1.2599999904632568
SINGER,Financial Services,12.699999809265137
SINO,Industrials,0.9100000262260437
SIRI,Real Estate,1.4700000286102295
SIRIPRT,Real Estate,6.699999809265137
SIS,Technology,24.5
SISB,Consumer Defensive,10.800000190734863
SITHAI,Consumer Cyclical,1.0
SJWD,Industrials,8.550000190734863
SK,Basic Materials,0.5299999713897705
SKE,Utilities,0.1899999976158142
SKIN,Consumer Defensive,0.8799999952316284
SKN,Basic Materials,5.300000190734863
SKR,Healthcare,8.100000381469727
SKY,Technology,15.600000381469727
SLP,Industrials,0.5199999809265137
SMART,Unknown,0.5400000214576721
SMD100,Healthcare,1.1399999856948853
SMIT,Basic Materials,3.5399999618530273
SMO,Consumer Defensive,3.799999952316284
SMPC,Consumer Cyclical,9.399999618530273
SMT,Technology,3.700000047683716
SNC,Technology,8.25
SNNP,Consumer Defensive,6.900000095367432
SNP,Consumer Cyclical,8.899999618530273
SNPS,Consumer Defensive,4.519999980926514
SO,Industrials,4.639999866485596
SOLAR,Technology,0.23000000417232513
SONIC,Industrials,1.5199999809265137
SORKON,Consumer Defensive,3.5
SPA,Consumer Cyclical,3.2799999713897705
SPACK,Consumer Cyclical,1.440000057220459
SPALI,Real Estate,15.899999618530273
SPC,Consumer Defensive,55.25
SPCG,Utilities,9.050000190734863
SPG,Basic Materials,11.0
SPI,Real Estate,33.25
SPRC,Energy,8.25
SPREME,Technology,1.5299999713897705
SPRIME,Real Estate,4.139999866485596
SPTX,Technology,0.009999999776482582
SPVI,Technology,3.359999895095825
SQ,Industrials,0.20000000298023224
SR,Industrials,0.38999998569488525
SRICHA,Industrials,18.399999618530273
SRIPANWA,Real Estate,5.150000095367432
SRS,Technology,1.809999942779541
SSF,Consumer Defensive,5.050000190734863
SSP,Utilities,4.119999885559082
SSSC,Basic Materials,2.240000009536743
SST,Consumer Defensive,1.0299999713897705
SSTRT,Real Estate,4.659999847412109
STA,Basic Materials,17.899999618530273
STANLY,Consumer Cyclical,240.0
STARM,Financial Services,0.9700000286102295
STC,Basic Materials,0.6100000143051147
STECH,Basic Materials,1.2100000381469727
STECON,Industrials,18.799999237060547
STELLA,Real Estate,0.27000001072883606
STGT,Basic Materials,10.600000381469727
STI,Industrials,1.7000000476837158
STOWER,Basic Materials,0.029999999329447746
STP,Basic Materials,12.399999618530273
STPI,Industrials,5.300000190734863
STX,Basic Materials,0.8399999737739563
SUC,Industrials,27.5
SUN,Consumer Defensive,2.380000114440918
SUPER,Utilities,0.12999999523162842
SUSCO,Energy,2.240000009536743
SUTHA,Basic Materials,2.680000066757202
SVOA,Technology,1.8300000429153442
SVR,Real Estate,0.33000001311302185
SVT,Industrials,1.2899999618530273
SWC,Basic Materials,4.579999923706055
SYMC,Communication Services,5.699999809265137
SYNEX,Technology,9.399999618530273
SYNTEC,Industrials,1.7699999809265137
TACC,Consumer Defensive,6.349999904632568
TAE,Basic Materials,1.4800000190734863
TAKUNI,Industrials,0.4099999964237213
TAN,Consumer Cyclical,3.799999952316284
TASCO,Basic Materials,13.800000190734863
TATG,Consumer Cyclical,1.0099999904632568
TBN,Technology,3.4800000190734863
TBSP,Industrials,0.8899999856948853
TC,Consumer Defensive,6.699999809265137
TCAP,Financial Services,71.75
TCC,Energy,0.3100000023841858
TCJ,Industrials,2.4600000381469727
TCMC,Consumer Cyclical,0.3100000023841858
TCOAT,Consumer Cyclical,26.5
TEAM,Technology,4.579999923706055
TEAMG,Industrials,3.0799999237060547
TEGH,Basic Materials,3.0999999046325684
TEKA,Industrials,1.7300000190734863
