symbol,date,period,eps,src
MA,2024-09-30,2024Q3,3.53,yahoo_income
MA,2024-06-30,2024Q2,3.5,yahoo_income
MCD,2025-09-30,2025Q3,3.18,yahoo_income
MCD,2025-06-30,2025Q2,3.14,yahoo_income
MCD,2025-03-31,2025Q1,2.6,yahoo_income
MCD,2024-12-31,2024Q4,2.8,yahoo_income
MCD,2024-09-30,2024Q3,3.13,yahoo_income
MDT,2025-07-31,2025Q3,0.81,yahoo_income
MDT,2025-04-30,2025Q2,0.82,yahoo_income
MDT,2025-01-31,2025Q1,1.01,yahoo_income
MDT,2024-10-31,2024Q4,0.99,yahoo_income
MDT,2024-07-31,2024Q3,0.8,yahoo_income
META,2025-09-30,2025Q3,1.05,yahoo_income
META,2025-06-30,2025Q2,7.14,yahoo_income
META,2025-03-31,2025Q1,6.43,yahoo_income
META,2024-12-31,2024Q4,8.02,yahoo_income
META,2024-09-30,2024Q3,6.03,yahoo_income
MMC,2025-09-30,2025Q3,1.51,yahoo_income
MMC,2025-06-30,2025Q2,2.45,yahoo_income
MMC,2025-03-31,2025Q1,2.79,yahoo_income
MMC,2024-12-31,2024Q4,1.59,yahoo_income
MMC,2024-09-30,2024Q3,1.51,yahoo_income
MO,2025-09-30,2025Q3,1.41,yahoo_income
MO,2025-06-30,2025Q2,1.41,yahoo_income
MO,2025-03-31,2025Q1,0.63,yahoo_income
MO,2024-12-31,2024Q4,1.79,yahoo_income
MO,2024-09-30,2024Q3,1.34,yahoo_income
MPC,2025-09-30,2025Q3,4.51,yahoo_income
MPC,2025-06-30,2025Q2,3.96,yahoo_income
MPC,2025-03-31,2025Q1,-0.24,yahoo_income
MPC,2024-12-31,2024Q4,1.15,yahoo_income
MPC,2024-09-30,2024Q3,1.87,yahoo_income
MRK,2025-09-30,2025Q3,2.32,yahoo_income
MRK,2025-06-30,2025Q2,1.76,yahoo_income
MRK,2025-03-31,2025Q1,2.01,yahoo_income
MRK,2024-12-31,2024Q4,1.48,yahoo_income
