symbol,period_1,period_2,period_3,period_4,period_5,period_6,eps_1,eps_2,eps_3,eps_4,eps_5,eps_6
COM7,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.52,0.37,0.43,0.42,0.3,
COMAN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.03,-0.75,0.02,-0.05,-0.04,
CPALL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.01,0.73,0.74,0.83,0.61,
CPANEL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.01,-0.09,-0.06,,
CPAXT,2025Q3,2025Q2,2025Q1,2024Q3,,,0.18,0.22,0.25,0.37,,
CPF,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.6,0.64,1.31,1.07,0.91,
CPH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.13,0.39,0.48,0.07,-0.54,
CPI,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.12,0.17,0.4,0.08,0.21,
CPL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,-0.13,-0.12,-0.01,-0.06,
CPN,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.11,1.21,0.96,0.94,0.92,
CPNREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.22,0.07,0.23,0.25,0.22,
CPR,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.03,0.03,0.03,,
CPT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.03,0.02,0.02,0.02,
CPW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.04,0.03,0.04,0.04,
CRANE,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.08,-0.05,-0.04,0.02,,
CRC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.46,0.22,0.19,0.39,0.35,
CRD,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.02,0.01,0.01,,
CREDIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.94,0.82,0.75,0.73,0.94,
CSC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,2.03,0.61,1.26,1.92,1.53,
CSP,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,-0.04,-0.0,-0.11,,
CSR,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.14,0.9,0.49,0.97,0.55,
CSS,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.01,0.05,,
CTW,2025Q3,2025Q2,2025Q1,2024Q3,,,0.24,0.14,-0.13,0.19,,
CV,2024Q3,,,,,,-0.24,,,,,
CWT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.06,-0.04,0.15,0.03,0.05,
D,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.06,0.06,0.05,0.03,
DCC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.02,0.02,0.03,0.03,
DCON,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,-0.0,0.0,-0.0,-0.0,
DDD,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.07,0.06,0.04,0.06,-0.08,
DELTA,2026Q1,2025Q2,2025Q1,2024Q3,,,0.73,0.37,0.44,0.47,,
DEMCO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.03,-0.04,0.07,
DEXON,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.03,-0.06,-0.04,-0.02,,
DHOUSE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.01,-0.01,-0.01,-0.01,0.01,
DIMET,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,-0.0,-0.0,-0.01,,
DITTO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.23,0.25,0.24,0.21,0.2,
DMT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.24,0.24,0.2,0.23,0.22,
DOD,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.02,0.06,0.02,,
DOHOME,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.03,0.05,0.07,0.02,
DPAINT,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.15,-0.06,-0.07,-0.19,,
DREIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.39,0.06,-0.05,0.24,-0.25,
DRT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.18,0.05,0.12,0.12,0.1,
DTCENT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.02,0.02,0.02,
DTCI,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.2,0.02,-0.38,-0.28,,
DUSIT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.26,-0.49,-0.38,0.02,-0.67,
EA,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.05,0.04,-0.1,0.04,0.09,
EASON,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,0.05,0.03,0.03,0.03,
EAST,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.02,0.02,0.01,0.01,
EASTW,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.04,-0.01,0.0,0.0,-0.01,
ECF,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.06,-0.84,-0.15,-0.19,,
EFORL,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.0,0.0,0.0,-0.0,0.01,
EGCO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,1.66,-1.25,4.1,6.79,4.68,
EKH,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.07,0.09,0.06,0.07,0.12,
EMC,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.01,-0.0,-0.02,-0.0,,
EMPIRE,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.03,0.01,0.06,-0.43,,
EP,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.14,-0.17,-0.61,-0.08,-0.56,
EPG,2025Q4,2025Q3,2025Q2,2024Q4,2024Q3,,0.12,0.11,0.1,0.06,0.05,
ERW,2025Q3,2025Q2,2025Q1,2024Q3,,,0.01,0.01,0.07,0.03,,
ESTAR,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.0,0.0,-0.0,-0.0,,
ETC,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.19,0.0,0.01,0.01,
ETE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.02,0.0,0.0,0.01,0.01,
ETL,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,0.04,0.02,-0.02,,
EURO,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.15,0.13,0.12,0.11,0.11,
EVER,2025Q3,2025Q2,2025Q1,2024Q3,,,0.02,-0.02,-0.02,-0.01,,
FANCY,2025Q3,2025Q2,2025Q1,2024Q3,,,0.0,-0.0,-0.0,0.0,,
FE,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,-0.34,3.77,2.66,-0.66,4.42,
FLOYD,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.03,0.12,0.05,0.01,0.04,
FM,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.21,0.17,0.19,0.2,0.17,
FMT,2026Q1,2025Q3,2025Q2,2025Q1,2024Q3,,0.95,-1.04,-0.3,0.48,-1.59,
FN,2025Q3,2025Q2,2025Q1,2024Q3,,,-0.02,-0.02,-0.01,-0.01,,
